MAC,Alt,Lat,Lon
90:a7:c1:0c:4d:14,24.76575794776961,26.415091935895997,28.574154383845297
10:5a:f7:0a:2b:c1,24.16786043612727,25.931535615035397,28.049526448730916
90:a7:c1:0c:4d:1d,18.886294272127188,16.925637057562636,18.278398343672368
00:1d:aa:7c:76:80,18.676767676767675,16.739078318181818,18.075992863636362
90:a7:c1:0a:f1:28,18.469670710571922,16.554682877227034,17.875934437712303
16:18:d6:cb:51:6c,18.06276660572821,16.192382727605118,17.482859656307127
bc:ae:c5:c3:7f:89,12.212675198049968,16.191876407068854,17.482561287020104
10:5a:f7:0a:2b:c2,12.0813704496788,16.013973678800852,17.28954414132762
00:1e:e5:04:e5:a1,12.0813704496788,16.013973678800852,17.28954414132762
a0:ab:1b:5e:b2:c4,11.823529411764707,15.664628931764701,16.910519454117644
ac:f1:df:a0:70:e9,31.098285043983875,26.588194590070856,28.752126413188527
52:f1:df:a0:70:ea,31.252145077077717,26.6390162165157,28.80724597573216
ac:f1:df:a0:70:e9,31.098285043983875,26.588194590070856,28.752126413188527
52:f1:df:a0:70:ea,31.252145077077717,26.6390162165157,28.80724597573216
94:10:3e:a8:34:a0,22.849101838019653,26.8815253956287,29.075771832029385
00:02:6f:a6:f1:f3,28.813793898852435,32.16641752255695,34.809217564641024
00:f6:63:3a:f4:81,22.9659500506719,32.166545740023054,34.80840031795005
34:23:87:36:c9:b7,25.334731835935134,32.166594661604975,34.809436396413005
00:f6:63:3a:f4:82,27.012784646260307,32.16688931838067,34.80850340634205
14:ae:db:ba:2d:35,19.748605014507845,17.696120309500778,19.106595300944864
14:ae:db:ba:2d:35,19.748605014507845,17.696120309500778,19.106595300944864
c0:a0:bb:cc:e2:3a,21.53466441931436,26.67940166702741,28.84915907081677
c0:a0:bb:cc:e2:3a,21.53466441931436,26.67940166702741,28.84915907081677
00:78:9e:fa:8b:23,19.31262262916939,17.307866657946366,18.685542289077823
00:78:9e:fa:8b:23,19.31262262916939,17.307866657946366,18.685542289077823
d8:37:be:f1:86:c9,28.26814903807488,26.636885584958915,28.802326717282067
d0:d4:12:67:a1:fa,28.004630757981968,26.564278280481204,28.723544594079694
d8:37:be:f1:86:c9,28.26814903807488,26.636885584958915,28.802326717282067
d0:d4:12:67:a1:fa,28.004630757981968,26.564278280481204,28.723544594079694
14:cc:20:76:cc:fe,27.171972420295834,25.748955770951092,27.843255728902644
14:cc:20:76:cc:fe,27.171972420295834,25.748955770951092,27.843255728902644
40:65:a3:29:99:51,16.60024375380865,16.19704138452163,17.48301666788543
40:65:a3:29:99:51,16.60024375380865,16.19704138452163,17.48301666788543
14:cc:20:76:cd:12,26.740847935946864,25.33208133759286,27.3911051667933
b4:ee:b4:a9:15:f7,25.4006240582806,32.17222002307173,34.81179390513039
88:dc:96:3b:f5:e0,23.646086226631056,25.3896194495497,27.45473125724545
14:cc:20:76:cd:12,26.740847935946864,25.33208133759286,27.3911051667933
b4:ee:b4:a9:15:f7,25.4006240582806,32.17222002307173,34.81179390513039
88:dc:96:3b:f5:e0,23.646086226631056,25.3896194495497,27.45473125724545
e8:fc:af:92:b9:87,25.48762483045541,27.084372269734146,29.288512580130675
e8:fc:af:92:b9:87,25.48762483045541,27.084372269734146,29.288512580130675
6c:b0:ce:33:a4:d5,35.0,32.16817761715323,34.80208875046569
6c:b0:ce:33:a4:d5,35.0,32.16817761715323,34.80208875046569
